WellRow,WellCol,well_position,gene_name,genotype,seed_density
B,1,B01,NF1,WT,500
C,1,C01,NF1,WT,500
D,1,D01,NF1,WT,500
E,1,E01,NF1,WT,500
F,1,F01,NF1,WT,500
G,1,G01,NF1,WT,500
B,2,B02,NF1,WT,1000
C,2,C02,NF1,WT,1000
D,2,D02,NF1,WT,1000
E,2,E02,NF1,WT,1000
F,2,F02,NF1,WT,1000
G,2,G02,NF1,WT,1000
B,3,B03,NF1,WT,2000
C,3,C03,NF1,WT,2000
D,3,D03,NF1,WT,2000
E,3,E03,NF1,WT,2000
F,3,F03,NF1,WT,2000
G,3,G03,NF1,WT,2000
B,5,B05,NF1,HET,500
C,5,C05,NF1,HET,500
D,5,D05,NF1,HET,500
E,5,E05,NF1,HET,500
F,5,F05,NF1,HET,500
G,5,G05,NF1,HET,500
B,6,B06,NF1,HET,1000
C,6,C06,NF1,HET,1000
D,6,D06,NF1,HET,1000
E,6,E06,NF1,HET,1000
F,6,F06,NF1,HET,1000
G,6,G06,NF1,HET,1000
B,7,B07,NF1,HET,2000
C,7,C07,NF1,HET,2000
D,7,D07,NF1,HET,2000
E,7,E07,NF1,HET,2000
F,7,F07,NF1,HET,2000
G,7,G07,NF1,HET,2000
B,9,B09,NF1,NULL,500
C,9,C09,NF1,NULL,500
D,9,D09,NF1,NULL,500
E,9,E09,NF1,NULL,500
F,9,F09,NF1,NULL,500
G,9,G09,NF1,NULL,500
B,10,B10,NF1,NULL,1000
C,10,C10,NF1,NULL,1000
D,10,D10,NF1,NULL,1000
E,10,E10,NF1,NULL,1000
F,10,F10,NF1,NULL,1000
G,10,G10,NF1,NULL,1000
B,11,B11,NF1,NULL,2000
C,11,C11,NF1,NULL,2000
D,11,D11,NF1,NULL,2000
E,11,E11,NF1,NULL,2000
F,11,F11,NF1,NULL,2000
G,11,G11,NF1,NULL,2000
