WellRow,WellCol,well_position,gene_name,genotype,seed_density,siRNA,RNAiMax,Concentration
B,2,B2,NF1,WT,1000,None,0,0
B,3,B3,NF1,WT,1000,Scramble,1,0.05
B,4,B4,NF1,WT,1000,Scramble,1,0.005
B,5,B5,NF1,WT,1000,None,0,0
B,6,B6,NF1,WT,1000,Scramble,1,0.005
B,7,B7,NF1,WT,1000,Scramble,1,0.05
B,8,B8,NF1,WT,1000,None,0,0
B,9,B9,NF1,WT,1000,Scramble,1,0.05
B,10,B10,NF1,WT,1000,Scramble,1,0.005
B,11,B11,NF1,WT,1000,None,1,0
C,2,C2,NF1,Null,1000,None,0,0
C,3,C3,NF1,WT,1000,NF1 Target 1,1,0.05
C,4,C4,NF1,WT,1000,NF1 Target 1,1,0.005
C,5,C5,NF1,Null,1000,None,0,0
C,6,C6,NF1,WT,1000,NF1 Target 1,1,0.05
C,7,C7,NF1,WT,1000,NF1 Target 1,1,0.005
C,8,C8,NF1,Null,1000,None,0,0
C,9,C9,NF1,WT,1000,NF1 Target 1,1,0.05
C,10,C10,NF1,WT,1000,NF1 Target 1,1,0.005
C,11,C11,NF1,WT,1000,None,1,0
D,2,D2,NF1,Null,1000,None,0,0
D,3,D3,NF1,WT,1000,NF1 Target 2,1,0.05
D,4,D4,NF1,WT,1000,NF1 Target 2,1,0.005
D,5,D5,NF1,Null,1000,None,0,0
D,6,D6,NF1,WT,1000,NF1 Target 2,1,0.05
D,7,D7,NF1,WT,1000,NF1 Target 2,1,0.005
D,8,D8,NF1,Null,1000,None,0,0
D,9,D9,NF1,WT,1000,NF1 Target 2,1,0.05
D,10,D10,NF1,WT,1000,NF1 Target 2,1,0.005
D,11,D11,NF1,WT,1000,None,1,0
E,2,E2,NF1,WT,1000,Scramble,1,0.1
E,3,E3,NF1,WT,1000,Scramble,1,0.01
E,4,E4,NF1,WT,1000,Scramble,1,0.001
E,5,E5,NF1,WT,1000,Scramble,1,0.1
E,6,E6,NF1,WT,1000,Scramble,1,0.01
E,7,E7,NF1,WT,1000,Scramble,1,0.001
E,8,E8,NF1,WT,1000,Scramble,1,0.1
E,9,E9,NF1,WT,1000,Scramble,1,0.01
E,10,E10,NF1,WT,1000,Scramble,1,0.001
E,11,E11,NF1,WT,1000,None,0,0
F,2,F2,NF1,WT,1000,NF1 Target 1,1,0.1
F,3,F3,NF1,WT,1000,NF1 Target 1,1,0.01
F,4,F4,NF1,WT,1000,NF1 Target 1,1,0.001
F,5,F5,NF1,WT,1000,NF1 Target 1,1,0.1
F,6,F6,NF1,WT,1000,NF1 Target 1,1,0.01
F,7,F7,NF1,WT,1000,NF1 Target 1,1,0.001
F,8,F8,NF1,WT,1000,NF1 Target 1,1,0.1
F,9,F9,NF1,WT,1000,NF1 Target 1,1,0.01
F,10,F10,NF1,WT,1000,NF1 Target 1,1,0.001
F,11,F11,NF1,Null,1000,None,0,0
G,2,G2,NF1,WT,1000,NF1 Target 2,1,0.1
G,3,G3,NF1,WT,1000,NF1 Target 2,1,0.01
G,4,G4,NF1,WT,1000,NF1 Target 2,1,0.001
G,5,G5,NF1,WT,1000,NF1 Target 2,1,0.1
G,6,G6,NF1,WT,1000,NF1 Target 2,1,0.01
G,7,G7,NF1,WT,1000,NF1 Target 2,1,0.001
G,8,G8,NF1,WT,1000,NF1 Target 2,1,0.1
G,9,G9,NF1,WT,1000,NF1 Target 2,1,0.01
G,10,G10,NF1,WT,1000,NF1 Target 2,1,0.001
G,11,G11,NF1,Null,1000,None,0,0
