WellRow,WellCol,well_position,gene_name,genotype
B,1,B1,NF1,WT
C,1,C1,NF1,WT
D,1,D1,NF1,WT
E,1,E1,NF1,WT
F,1,F1,NF1,WT
G,1,G1,NF1,WT
B,2,B2,NF1,WT
C,2,C2,NF1,WT
D,2,D2,NF1,WT
E,2,E2,NF1,WT
F,2,F2,NF1,WT
G,2,G2,NF1,WT
B,3,B3,NF1,WT
C,3,C3,NF1,WT
D,3,D3,NF1,WT
E,3,E3,NF1,WT
F,3,F3,NF1,WT
G,3,G3,NF1,WT
B,4,B4,NF1,WT
C,4,C4,NF1,WT
D,4,D4,NF1,WT
E,4,E4,NF1,WT
F,4,F4,NF1,WT
G,4,G4,NF1,WT
B,5,B5,NF1,HET
C,5,C5,NF1,HET
D,5,D5,NF1,HET
E,5,E5,NF1,HET
F,5,F5,NF1,HET
G,5,G5,NF1,HET
B,6,B6,NF1,HET
C,6,C6,NF1,HET
D,6,D6,NF1,HET
E,6,E6,NF1,HET
F,6,F6,NF1,HET
G,6,G6,NF1,HET
B,7,B7,NF1,HET
C,7,C7,NF1,HET
D,7,D7,NF1,HET
E,7,E7,NF1,HET
F,7,F7,NF1,HET
G,7,G7,NF1,HET
B,8,B8,NF1,HET
C,8,C8,NF1,HET
D,8,D8,NF1,HET
E,8,E8,NF1,HET
F,8,F8,NF1,HET
G,8,G8,NF1,HET
B,9,B9,NF1,Null
C,9,C9,NF1,Null
D,9,D9,NF1,Null
E,9,E9,NF1,Null
F,9,F9,NF1,Null
G,9,G9,NF1,Null
B,10,B10,NF1,Null
C,10,C10,NF1,Null
D,10,D10,NF1,Null
E,10,E10,NF1,Null
F,10,F10,NF1,Null
G,10,G10,NF1,Null
B,11,B11,NF1,Null
C,11,C11,NF1,Null
D,11,D11,NF1,Null
E,11,E11,NF1,Null
F,11,F11,NF1,Null
G,11,G11,NF1,Null
B,12,B12,NF1,Null
C,12,C12,NF1,Null
D,12,D12,NF1,Null
E,12,E12,NF1,Null
F,12,F12,NF1,Null
G,12,G12,NF1,Null
