Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
F8	21	557	HET	Plate_3	1.6717014	0.9031965
G10	2	117	Null	Plate_3	0.96343166	3.9534988
F11	12	329	Null	Plate_3	0.9225851	5.441982
G12	21	121	Null	Plate_5	2.9521008	3.2296233
F5	7	75	HET	Plate_3	1.1243862	1.1467032
G2	22	94	WT	Plate_3_prime	2.207749	5.0164757
D7	23	235	HET	Plate_3	1.2127217	3.1391554
D4	25	358	WT	Plate_3_prime	-0.32214436	5.879111
G4	12	386	WT	Plate_3	0.3741569	5.071162
E4	5	246	WT	Plate_3_prime	1.941354	4.5826373
G3	23	187	WT	Plate_3	-0.30167985	3.1445773
G9	13	149	Null	Plate_5	0.32473242	3.5512776
E5	20	53	HET	Plate_3_prime	0.24898414	2.6147277
F8	23	557	HET	Plate_3	0.27623785	3.5722537
E7	6	103	HET	Plate_5	2.0265763	3.1208973
C10	16	125	Null	Plate_5	2.8685813	3.0749469
F12	9	125	Null	Plate_5	-0.38461375	3.553399
G4	23	386	WT	Plate_3	-0.8824724	4.7220387
E12	5	607	Null	Plate_3	-2.7171605	4.1051354
C11	5	154	Null	Plate_5	3.1991446	3.1543398
B12	24	200	Null	Plate_3_prime	-0.8176298	5.8296223
C8	18	628	HET	Plate_3	-1.1925868	2.4396157
B4	2	559	WT	Plate_3	1.5052187	4.874603
F12	5	647	Null	Plate_3	-3.9922352	2.5831163
F7	17	387	HET	Plate_3	0.25805467	2.380913
G8	4	65	HET	Plate_5	1.5553014	3.037218
B4	15	112	WT	Plate_5	-0.9432461	3.2885706
D1	19	91	WT	Plate_5	-1.2251732	2.8939476
C10	6	136	Null	Plate_3	2.5096476	4.76338
C6	16	98	HET	Plate_3_prime	3.3256981	3.6974993
D6	11	76	HET	Plate_5	0.4516846	6.1259866
D3	4	168	WT	Plate_3_prime	0.8196831	2.6765087
G12	13	187	Null	Plate_3_prime	2.3704495	4.2911906
G10	13	129	Null	Plate_5	1.5667634	2.7204366
B3	3	297	WT	Plate_3	0.40542492	2.9857247
G4	6	388	WT	Plate_3_prime	-1.214417	2.557608
B3	14	297	WT	Plate_3	0.4256057	3.4490564
D4	2	102	WT	Plate_5	2.6389763	1.6010967
G12	15	187	Null	Plate_3_prime	-0.7111638	0.6963577
E5	13	89	HET	Plate_5	-0.47247586	5.202344
D6	8	76	HET	Plate_5	3.0225837	3.182974
F8	21	63	HET	Plate_5	0.06497407	4.2434797
B4	20	559	WT	Plate_3	1.6309369	5.850196
D8	8	681	HET	Plate_3	-3.1619682	2.7976341
E10	11	132	Null	Plate_5	-1.1174736	2.1951494
E8	9	705	HET	Plate_3	-1.0022502	1.48362
