Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
D4	25	358	WT	Plate_3_prime	2.8345866	-1.2458435
C12	5	321	Null	Plate_3_prime	0.90148336	0.8046838
B4	19	219	WT	Plate_3_prime	3.4397187	-0.030498162
G2	6	94	WT	Plate_3_prime	2.4348779	3.4310915
G1	25	27	WT	Plate_3_prime	2.4216998	1.9183263
C10	1	45	Null	Plate_3_prime	2.7966185	1.6155591
F12	25	125	Null	Plate_3_prime	2.6853452	-0.9857507
B1	21	30	WT	Plate_3_prime	2.3482103	1.9913498
G12	13	187	Null	Plate_3_prime	-0.032135665	-1.2577
D4	19	358	WT	Plate_3_prime	4.969159	-1.1332219
D12	19	193	Null	Plate_3_prime	4.0788074	-2.2387064
G3	19	248	WT	Plate_3_prime	0.5063376	0.3288175
G9	19	44	Null	Plate_3_prime	1.9318728	2.0756636
D4	15	358	WT	Plate_3_prime	1.5168489	-2.3686743
F4	15	284	WT	Plate_3_prime	3.46031	-2.1266398
C11	23	54	Null	Plate_3_prime	1.354781	0.2610254
G11	20	142	Null	Plate_3_prime	0.18566264	-1.3600122
C3	5	138	WT	Plate_3_prime	1.9017407	-1.427339
F10	15	66	Null	Plate_3_prime	-0.7588153	2.8721933
G4	9	388	WT	Plate_3_prime	0.9042308	0.097296864
C12	3	321	Null	Plate_3_prime	0.646331	-0.08838115
E4	13	246	WT	Plate_3_prime	2.4925663	-1.4153401
C1	7	33	WT	Plate_3_prime	-0.3781953	2.3930643
B12	18	200	Null	Plate_3_prime	0.94847804	-2.4731143
C10	10	45	Null	Plate_3_prime	-0.34739086	2.852369
F3	10	174	WT	Plate_3_prime	2.7295783	-1.5000224
B4	4	219	WT	Plate_3_prime	3.4184837	-0.71163255
G4	8	388	WT	Plate_3_prime	1.6042755	0.5920527
G4	7	388	WT	Plate_3_prime	2.3803842	-1.2845868
D4	5	358	WT	Plate_3_prime	4.91751	-0.044961676
E2	4	60	WT	Plate_3_prime	3.1022053	2.1466
C10	23	45	Null	Plate_3_prime	3.6828742	2.3982587
D2	12	44	WT	Plate_3_prime	3.247684	3.182126
G11	2	142	Null	Plate_3_prime	0.6269054	1.3383625
G4	17	388	WT	Plate_3_prime	4.7432585	-1.2792373
C11	10	54	Null	Plate_3_prime	2.1069322	-0.7250632
E4	13	246	WT	Plate_3_prime	2.9321663	0.61652887
G3	5	248	WT	Plate_3_prime	2.1624439	-0.453544
F3	14	174	WT	Plate_3_prime	4.079459	0.8140979
D3	25	168	WT	Plate_3_prime	1.871017	-0.97635794
D10	2	51	Null	Plate_3_prime	4.010791	-0.7242809
G4	21	388	WT	Plate_3_prime	-0.39260462	1.2676631
F4	20	284	WT	Plate_3_prime	4.5050464	0.22548306
D3	19	168	WT	Plate_3_prime	2.5969408	0.004666975
E11	17	59	Null	Plate_3_prime	4.393613	0.957632
G1	21	27	WT	Plate_3_prime	2.380826	2.487913
B12	9	200	Null	Plate_3_prime	4.1305637	-1.0709211
G3	8	248	WT	Plate_3_prime	-0.3840997	-0.3836399
F3	14	174	WT	Plate_3_prime	-0.81673473	2.054492
D4	15	358	WT	Plate_3_prime	1.9196744	-3.139896
D4	24	358	WT	Plate_3_prime	2.2494955	-1.7495005
C1	5	33	WT	Plate_3_prime	3.6490526	2.790556
B12	15	200	Null	Plate_3_prime	3.5741963	-4.119099
C10	24	45	Null	Plate_3_prime	2.8168373	2.1976085
D4	24	358	WT	Plate_3_prime	0.44778872	-2.5382879
G4	14	388	WT	Plate_3_prime	1.1110462	0.4280007
G4	20	388	WT	Plate_3_prime	3.098395	-0.9757492
G4	15	388	WT	Plate_3_prime	1.4237133	-0.29825294
C12	17	321	Null	Plate_3_prime	2.583481	0.83526003
E3	16	156	WT	Plate_3_prime	-0.3599825	-0.9144662
