Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
C11	17	95	WT	Plate_4	13.76498	7.058684
B3	22	133	WT	Plate_4	10.511924	4.53261
B11	8	101	WT	Plate_4	12.128872	6.5756884
D8	14	96	Null	Plate_4	9.357377	3.473488
G3	6	150	WT	Plate_4	13.631996	7.3040504
G7	17	146	WT	Plate_4	15.839249	5.1706095
B6	4	102	WT	Plate_4	10.410367	4.064264
E7	15	142	WT	Plate_4	11.730463	5.2710414
E11	24	145	WT	Plate_4	14.034821	5.34038
G3	17	150	WT	Plate_4	15.1127615	6.80543
E8	8	131	WT	Plate_4	11.414162	7.1723437
E8	4	131	WT	Plate_4	13.958957	2.1245162
F6	19	139	WT	Plate_4	14.325433	3.283007
D10	20	103	WT	Plate_4	13.184524	7.5493035
F5	15	140	WT	Plate_4	15.42165	3.4972699
G6	6	114	WT	Plate_4	13.039475	6.551229
B8	4	125	WT	Plate_4	12.51469	3.910529
F11	9	114	Null	Plate_4	13.163722	7.1846457
B2	21	111	WT	Plate_4	14.53704	3.0735943
G10	24	121	WT	Plate_4	13.172664	4.102523
B10	3	83	WT	Plate_4	11.9598055	3.1242058
E6	19	124	WT	Plate_4	12.624888	6.7702985
F2	14	136	WT	Plate_4	13.172848	5.4339123
C2	9	140	Null	Plate_4	13.622691	2.8790126
F10	13	154	WT	Plate_4	15.408481	5.8649154
F11	18	114	Null	Plate_4	13.016712	8.028876
F6	10	139	WT	Plate_4	14.673798	6.30189
C2	25	140	Null	Plate_4	11.873593	5.2170386
F3	17	117	WT	Plate_4	13.461766	2.7519307
D4	5	144	WT	Plate_4	11.597421	7.0055
E8	12	131	WT	Plate_4	11.968453	5.6581793
E6	6	124	WT	Plate_4	13.99861	2.9419482
B9	1	132	WT	Plate_4	12.019721	5.4127545
E4	14	192	WT	Plate_4	9.832438	3.5436068
E11	21	145	WT	Plate_4	13.778937	1.8013034
B2	1	111	WT	Plate_4	14.14777	4.3312864
B10	20	83	WT	Plate_4	13.212926	7.4750075
E4	9	192	WT	Plate_4	14.325714	7.5360937
G11	18	118	Null	Plate_4	14.777627	6.663449
F11	13	114	Null	Plate_4	14.335533	4.1378655
G2	17	159	WT	Plate_4	11.979703	4.3614316
C6	21	67	WT	Plate_4	12.954813	3.2045271
C3	3	112	WT	Plate_4	11.833799	5.3934026
D8	20	96	Null	Plate_4	12.017163	6.562319
E9	10	113	WT	Plate_4	12.647657	2.2095277
G9	1	148	WT	Plate_4	8.831792	3.1370347
B4	7	97	WT	Plate_4	9.768588	8.89797
F4	9	127	WT	Plate_4	12.727756	7.910191
B3	23	133	WT	Plate_4	11.358169	4.1517067
C2	8	140	Null	Plate_4	15.289699	5.7321076
G6	13	114	WT	Plate_4	11.924429	5.4561987
E2	19	113	WT	Plate_4	10.102735	3.7626717
E11	5	145	WT	Plate_4	13.880545	7.9397044
F8	23	170	WT	Plate_4	13.750973	3.4456427
G6	21	114	WT	Plate_4	12.722791	4.6167154
F11	25	114	Null	Plate_4	13.095077	5.891193
B5	18	124	WT	Plate_4	11.604062	6.1432924
E11	8	145	WT	Plate_4	13.060492	7.7447147
C4	18	102	WT	Plate_4	11.673966	6.979724
B3	19	133	WT	Plate_4	12.991131	5.479
B5	4	124	WT	Plate_4	9.21924	3.3736553
B3	1	133	WT	Plate_4	12.2398815	6.118655
E7	13	142	WT	Plate_4	9.68442	3.0739243
E4	23	192	WT	Plate_4	9.962741	8.752375
G11	22	118	Null	Plate_4	13.980528	6.194455
F9	6	149	WT	Plate_4	14.315506	7.4549494
B9	3	132	WT	Plate_4	12.070125	3.1465104
F3	13	117	WT	Plate_4	11.964889	5.603749
B6	18	102	WT	Plate_4	15.414484	2.9453592
B9	21	132	WT	Plate_4	12.414534	5.1370535
F9	5	149	WT	Plate_4	13.978548	2.56538
C11	17	95	WT	Plate_4	13.362766	6.2976294
F9	22	149	WT	Plate_4	15.15393	4.9430184
C9	6	91	WT	Plate_4	11.41134	7.2227416
B6	5	102	WT	Plate_4	14.488466	5.0263233
D6	16	126	WT	Plate_4	11.163622	7.475261
D5	14	90	Null	Plate_4	13.001781	7.1190686
