Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	UMAP0	UMAP1
D5	7	99	HET	14.524671	-2.5422387
G12	9	121	Null	15.100288	2.7147312
E12	8	115	Null	15.040654	-1.186599
D6	13	76	HET	14.194603	-2.640928
E4	17	86	WT	12.24092	1.4749749
E9	8	120	Null	15.846634	-0.89755464
F12	7	125	Null	12.060333	1.282765
F6	7	82	HET	13.557783	2.0430863
D3	2	128	WT	14.03666	2.3165371
D4	13	102	WT	11.2035055	-1.436935
F7	19	90	HET	11.738387	-0.35428953
G2	17	125	WT	15.137102	0.23874307
F11	2	135	Null	14.386563	-0.7556583
D1	19	91	WT	12.294806	-1.0962217
C11	10	154	Null	15.705326	0.033043876
C2	21	137	WT	17.45897	-1.4084264
C7	9	100	HET	16.280954	-1.3759491
B11	5	148	Null	17.042624	0.86868954
F2	19	111	WT	16.88801	-1.3947233
D9	9	135	Null	14.054158	0.35998777
F12	19	125	Null	14.568465	2.8495443
D11	3	178	Null	15.858172	-0.788036
C7	11	100	HET	17.381855	-1.6981629
B10	5	155	Null	16.393982	-0.57490546
E11	21	185	Null	13.544422	0.64727646
D4	13	102	WT	13.710103	-2.1543179
F6	20	82	HET	13.35233	0.57480526
G7	4	94	HET	14.041541	-2.7405372
C8	11	85	HET	15.126049	-3.2433555
D5	6	99	HET	16.543653	-0.71487373
E3	21	122	WT	15.230565	2.134725
C4	4	104	WT	17.102823	-1.8507774
C2	6	137	WT	17.151632	-0.92307097
B1	1	79	WT	13.507011	2.2021315
E1	5	101	WT	13.83812	-1.6917787
B2	13	97	WT	11.121383	-1.0073458
F6	2	82	HET	16.200172	-1.057869
C10	5	125	Null	14.847958	3.0374687
D4	6	102	WT	17.319513	1.617938
G9	18	149	Null	16.15429	2.6259687
E11	9	185	Null	16.310612	-1.6520032
C6	4	71	HET	15.217906	0.859433
G2	20	125	WT	14.407864	0.4140286
D6	18	76	HET	14.860266	1.2616545
D4	3	102	WT	17.42845	1.812616
G11	11	129	Null	15.988612	-2.3372314
G8	13	65	HET	13.748739	0.20653176
G2	18	125	WT	15.982047	-0.58222806
G4	20	100	WT	12.854884	-0.46970508
D5	13	99	HET	12.225358	0.46634224
C9	20	156	Null	16.072838	1.1771169
B9	6	173	Null	17.536062	-0.9345488
D10	20	157	Null	15.653011	0.14397639
C8	15	85	HET	14.698107	0.20424831
D7	11	83	HET	17.198778	1.7348192
G10	2	129	Null	12.709725	-0.32666764
D10	20	157	Null	14.477202	-0.46346128
B9	7	173	Null	16.847948	-1.1996682
F5	10	109	HET	14.513229	1.3467646
B12	19	148	Null	14.536492	-1.9520314
G11	7	129	Null	17.219412	-0.9354605
B5	17	101	HET	14.87284	-0.99498534
D11	10	178	Null	16.43527	-0.7799363
B11	4	148	Null	17.406078	0.06894735
F8	6	63	HET	14.796477	-0.4870152
F12	13	125	Null	15.653996	-2.1872466
E11	20	185	Null	13.226594	-1.4949107
C9	12	156	Null	15.292803	-0.49004343
E3	19	122	WT	15.825353	1.0622845
B2	15	97	WT	15.909738	-2.3203855
G7	12	94	HET	14.425216	-0.55344415
C2	9	137	WT	16.096327	-1.65966
D12	16	106	Null	14.614747	-1.5391778
F4	20	94	WT	15.74961	1.729297
E3	9	122	WT	17.295078	1.9454321
G6	15	79	HET	15.093942	-0.7355855
E11	13	185	Null	13.478634	0.37127087
F2	3	111	WT	16.853893	2.0376701
C11	9	154	Null	16.502003	1.1800708
B10	19	155	Null	17.239424	1.1519293
E1	9	101	WT	13.410558	0.2960707
C7	9	100	HET	17.613306	0.92884344
C2	2	137	WT	14.728906	-0.116069056
B6	17	99	HET	17.85708	0.4608694
C11	12	154	Null	16.696716	1.3411818
C9	21	156	Null	16.49777	-1.7882563
C8	14	85	HET	13.539653	-2.06352
G2	20	125	WT	16.472769	-1.4721806
F3	8	92	WT	14.829381	-2.0932074
D9	3	135	Null	15.0640335	-2.2688255
E11	5	185	Null	14.754569	1.2518948
B1	5	79	WT	15.818414	-2.9120955
G3	15	121	WT	11.121702	-1.5682298
B12	15	148	Null	11.085084	-1.4838756
E2	6	102	WT	17.018665	2.0257351
F3	7	92	WT	14.981716	-1.6897972
C10	16	125	Null	15.898291	-2.2520978
G5	20	61	HET	13.538887	0.35133246
F1	11	88	WT	16.37822	2.3074307
C9	8	156	Null	16.394236	-1.6269286
G3	19	121	WT	15.39494	2.5769958
C7	9	100	HET	17.64648	0.59639263
B7	3	78	HET	17.715357	-0.24026418
F9	5	149	Null	15.309538	2.185048
C12	16	119	Null	13.043084	-0.011353354
C6	12	71	HET	14.741324	0.872562
D12	11	106	Null	13.604097	0.7853884
B9	10	173	Null	16.38183	0.49519503
B10	19	155	Null	14.376411	2.1508012
D11	18	178	Null	14.756014	-0.61684597
D6	1	76	HET	11.981035	-0.19564772
E10	13	132	Null	12.008471	0.8295461
B9	9	173	Null	16.88935	1.1598543
D4	14	102	WT	14.710123	-1.2319963
E11	7	185	Null	13.750084	-2.621373
E10	4	132	Null	14.560288	-0.7701135
E4	17	86	WT	14.233995	0.1914112
E2	11	102	WT	12.757426	-0.9123172
B9	13	173	Null	15.286502	1.3704234
