Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E11	22	232	WT	Plate_6_filtered	6.078991	1.3268427
B7	27	102	WT	Plate_6_filtered	11.979151	1.2842206
B2	32	129	WT	Plate_6_filtered	9.677656	2.5488358
E4	28	131	WT	Plate_6_filtered	9.638799	3.9378958
E11	33	232	WT	Plate_6_filtered	8.196414	5.310744
E8	22	215	WT	Plate_6_filtered	9.731177	6.3740644
E9	5	251	WT	Plate_6_filtered	8.122977	2.46472
B2	27	129	WT	Plate_6_filtered	11.786816	2.1429248
E5	7	172	WT	Plate_6_filtered	7.8089705	3.6001356
B5	21	91	WT	Plate_6_filtered	12.176086	3.72478
E6	31	144	WT	Plate_6_filtered	8.668326	5.5955124
B6	23	93	WT	Plate_6_filtered	12.376713	3.3899903
B10	2	124	WT	Plate_6_filtered	5.825783	1.5480596
E11	16	232	WT	Plate_6_filtered	9.503333	6.37791
E5	15	172	WT	Plate_6_filtered	7.4067693	1.7305411
G10	34	88	Null	Plate_6_filtered	8.29316	2.6223147
B8	5	92	WT	Plate_6_filtered	11.818974	1.5514866
E8	15	215	WT	Plate_6_filtered	7.8322697	7.46409
B6	9	93	WT	Plate_6_filtered	11.535397	2.9082654
G2	23	114	Null	Plate_6_filtered	7.406127	5.3783026
G9	35	87	Null	Plate_6_filtered	9.776536	4.6452155
E10	10	224	WT	Plate_6_filtered	7.929286	2.3145652
E9	34	251	WT	Plate_6_filtered	6.652481	1.7745874
G9	11	87	Null	Plate_6_filtered	7.001312	5.7418737
E2	10	141	WT	Plate_6_filtered	7.9159937	2.3668227
G3	9	123	Null	Plate_6_filtered	10.666593	5.9708247
E11	16	232	WT	Plate_6_filtered	8.325058	4.031621
B3	6	116	WT	Plate_6_filtered	10.338804	3.2007577
G2	2	114	Null	Plate_6_filtered	6.5379534	3.9753876
D4	29	40	Null	Plate_6_filtered	10.683623	2.750163
E10	27	224	WT	Plate_6_filtered	6.2948313	2.3104763
E6	23	144	WT	Plate_6_filtered	9.13582	4.132714
E6	15	144	WT	Plate_6_filtered	7.819006	3.1711063
B6	10	93	WT	Plate_6_filtered	10.202997	3.5406628
E10	21	224	WT	Plate_6_filtered	7.1288238	1.5570772
B3	19	116	WT	Plate_6_filtered	12.066959	4.2141676
B4	26	88	WT	Plate_6_filtered	10.007275	4.1493464
B7	33	102	WT	Plate_6_filtered	10.215443	1.8135298
G9	33	87	Null	Plate_6_filtered	8.661106	1.9551507
B3	18	116	WT	Plate_6_filtered	10.357673	3.1651108
E10	18	224	WT	Plate_6_filtered	9.759357	5.8737626
E3	6	161	WT	Plate_6_filtered	6.2853465	2.999218
