Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_3	5	G12	Null	481	0.25703984	-0.82199776
Plate_5	5	D9	Null	135	0.84689116	1.34126
Plate_5	14	B4	WT	112	-1.2115972	-1.0537821
Plate_3	2	F4	WT	438	0.24376719	-1.6256273
Plate_5	4	D10	Null	157	0.5884609	-0.54381984
Plate_3	19	E11	Null	331	-2.0754378	-0.0047468436
Plate_3_prime	25	B4	WT	219	2.0397067	2.4390683
Plate_3_prime	22	E3	WT	156	2.8057816	-1.3772762
Plate_5	1	C4	WT	104	1.761199	0.5586916
Plate_5	8	E12	Null	115	-1.1884185	1.6471988
Plate_5	20	F2	WT	111	2.0129416	-2.109661
Plate_3_prime	22	G4	WT	388	1.638103	-3.509296
Plate_3	16	F11	Null	329	2.8038046	-2.4526482
Plate_3_prime	8	E12	Null	328	2.7599761	-0.2161452
Plate_3	4	B11	Null	279	2.0792365	1.0967324
Plate_3_prime	5	E4	WT	246	0.7672567	-0.26937348
Plate_3	16	E11	Null	331	1.0569423	-0.67364955
Plate_3	18	D2	WT	152	2.561492	-0.0068756565
Plate_3	7	E10	Null	118	1.3903618	-0.22268535
Plate_3	1	B3	WT	297	0.9272893	-2.8622072
Plate_3	23	F4	WT	438	2.1281118	-2.3803391
Plate_3	11	C4	WT	666	2.5995495	-2.527261
Plate_5	9	D9	Null	135	1.0140641	1.2220864
Plate_3	8	G11	Null	250	1.5200275	0.78056
Plate_5	20	G10	Null	129	1.4765382	0.67985207
Plate_3_prime	19	B4	WT	219	1.4247545	1.0611044
Plate_5	13	G11	Null	129	-1.5254587	0.8215691
Plate_3	5	C4	WT	666	0.8472183	-0.045273643
Plate_3_prime	16	C3	WT	138	0.9377122	-3.2078216
Plate_3	4	D4	WT	636	1.9058189	2.0821483
Plate_3	15	D4	WT	636	2.7771153	1.5975629
Plate_3	13	G10	Null	117	-0.17495297	0.7758553
Plate_3_prime	5	C12	Null	321	2.4295592	0.9831161
Plate_3	3	C2	WT	175	2.7176323	1.6969807
Plate_5	11	F1	WT	88	2.6742857	-2.3061268
Plate_3	7	C12	Null	570	3.7077904	-0.8547136
Plate_3	8	D12	Null	623	1.2690704	2.8462076
Plate_3	16	F11	Null	329	-0.8483366	-1.5743334
Plate_3_prime	11	D10	Null	51	-0.5596485	-0.5106624
Plate_3	19	C3	WT	346	2.8256817	-0.14396885
Plate_3_prime	7	G3	WT	248	1.9585533	2.1144338
Plate_3	9	E12	Null	607	3.2105627	0.18590318
Plate_3_prime	20	E4	WT	246	3.7610822	-1.472692
Plate_3	5	C11	Null	281	2.7539203	-0.7852636
Plate_3	22	C4	WT	666	2.7160788	-0.12559347
Plate_3	9	B4	WT	559	1.0905449	1.7934128
Plate_3	16	C11	Null	281	3.7612247	0.5020273
Plate_5	2	E2	WT	102	2.1147206	1.0895511
Plate_3_prime	12	C12	Null	321	4.5734463	1.2110864
Plate_3	15	E12	Null	607	0.57158154	0.7535784
Plate_5	18	E12	Null	115	1.0843766	-1.605391
Plate_3_prime	5	B11	Null	53	-0.39943326	2.0610132
Plate_3_prime	10	G12	Null	187	3.1137114	0.2078587
Plate_3_prime	25	G11	Null	142	2.4227958	-0.5434849
Plate_3	8	D1	WT	38	-1.4831613	0.3834211
Plate_3_prime	24	C11	Null	54	2.3146698	-3.790957
Plate_3	22	B12	Null	531	2.0275366	2.2662265
Plate_3	6	G12	Null	481	-0.68424463	1.0125386
Plate_3	21	C4	WT	666	3.41406	-0.50888926
Plate_3	20	C4	WT	666	3.533625	0.21687052
Plate_3_prime	13	F10	Null	66	2.6892166	-0.7397588
Plate_3	12	C10	Null	136	3.2908208	-0.40867755
Plate_3_prime	18	D4	WT	358	5.337789	0.8896606
Plate_5	15	E3	WT	122	3.1413143	0.9530738
Plate_3	18	G4	WT	386	0.09605589	-0.080887966
Plate_3	9	C3	WT	346	2.8188827	-0.5901815
Plate_3	25	B12	Null	531	2.710988	2.075522
Plate_3	7	B12	Null	531	3.072751	-1.7806916
Plate_3_prime	22	E4	WT	246	2.421738	2.180126
Plate_3	25	C3	WT	346	2.7112856	-0.7298163
Plate_3_prime	18	G3	WT	248	2.6258385	-3.5675235
Plate_3	3	F2	WT	71	-1.3991743	0.79382527
Plate_3	8	E12	Null	607	1.5368086	1.2863684
Plate_3_prime	25	E4	WT	246	1.9579438	0.40008307
Plate_3	11	F12	Null	647	2.6177282	-0.5308009
Plate_3	24	D11	Null	216	2.942832	-0.66598403
Plate_3	19	C3	WT	346	0.75880843	2.662549
Plate_5	12	D11	Null	178	2.1787648	-3.163576
Plate_3	5	B12	Null	531	3.0402884	-1.6259506
Plate_3	4	C4	WT	666	2.546984	-1.1052661
Plate_3	25	F10	Null	150	3.4683478	-1.1175508
Plate_5	19	D11	Null	178	1.8314363	-1.6059047
Plate_3	4	E11	Null	331	1.1425034	1.3727783
Plate_3	18	C12	Null	570	1.6120328	2.3698611
Plate_3_prime	13	C12	Null	321	3.984004	-0.96550405
Plate_3_prime	18	F4	WT	284	2.7870502	-1.9213563
Plate_3	6	E12	Null	607	2.4267104	-3.4989283
Plate_3	21	C11	Null	281	1.0176548	1.1672637
Plate_3	20	B4	WT	559	3.48759	-2.4173214
