Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
D4	25	358	WT	Plate_3_prime	-5.559175	2.0719886
E11	4	59	Null	Plate_3_prime	-3.1049924	-1.1082644
B12	24	200	Null	Plate_3_prime	-6.8486385	2.3023295
G4	17	388	WT	Plate_3_prime	-7.0890713	2.1889205
E12	14	328	Null	Plate_3_prime	-5.059188	3.2658129
E3	8	155	WT	Plate_3_prime	-4.324049	0.25912836
F3	8	174	WT	Plate_3_prime	-7.351851	-0.06285403
D4	17	358	WT	Plate_3_prime	-4.8123775	2.3886447
F4	15	284	WT	Plate_3_prime	-6.62233	1.0117214
B4	20	219	WT	Plate_3_prime	-5.603712	3.4165614
B9	5	43	Null	Plate_3_prime	-5.0715184	-3.2956436
B2	1	55	WT	Plate_3_prime	-5.041297	-2.7861195
B12	16	200	Null	Plate_3_prime	-7.2656693	2.1733944
B12	9	200	Null	Plate_3_prime	-4.163293	2.2509604
C12	10	321	Null	Plate_3_prime	-6.506029	1.0934812
C9	3	37	Null	Plate_3_prime	-5.7619348	-2.0719187
C12	5	321	Null	Plate_3_prime	-7.9301267	1.4666531
C12	13	321	Null	Plate_3_prime	-3.8310947	2.7255378
B3	20	76	WT	Plate_3_prime	-5.2220783	1.4183825
D4	5	358	WT	Plate_3_prime	-4.3008013	2.312875
E10	1	72	Null	Plate_3_prime	-5.4472165	-2.5856352
C3	5	137	WT	Plate_3_prime	-4.282459	0.7136935
B12	16	200	Null	Plate_3_prime	-4.4718227	3.4281156
D4	15	358	WT	Plate_3_prime	-6.5597305	2.0544057
B12	9	200	Null	Plate_3_prime	-6.088162	3.8660178
C1	22	28	WT	Plate_3_prime	-4.9179	-0.9676304
C3	12	137	WT	Plate_3_prime	-2.8770983	-1.5978198
F4	20	284	WT	Plate_3_prime	-4.773362	2.8410966
E12	4	328	Null	Plate_3_prime	-5.5475636	3.8423707
B1	17	25	WT	Plate_3_prime	-5.6280317	-2.3448312
B4	8	219	WT	Plate_3_prime	-6.8242207	0.50072306
G3	4	248	WT	Plate_3_prime	-5.2417264	-0.3929828
D4	23	358	WT	Plate_3_prime	-2.760622	1.1529832
