Metadata_Well	Metadata_Site	Metadata_number_of_singlecells	Metadata_genotype	Metadata_Plate	UMAP0	UMAP1
E4	17	131	WT	Plate_6	2.7235131	1.8274881
E8	29	215	WT	Plate_6	5.1798396	0.43768013
G11	6	114	Null	Plate_6	4.286242	-0.28246966
E10	27	224	WT	Plate_6	2.9074776	0.32084802
E10	9	224	WT	Plate_6	3.8331034	-0.9117145
B3	4	116	WT	Plate_6	9.668748	2.9026775
E10	27	224	WT	Plate_6	4.9792314	1.8080688
E8	4	215	WT	Plate_6	5.1505	-1.5490655
B4	22	88	WT	Plate_6	9.173344	3.3458807
D9	27	74	Null	Plate_6	9.809118	1.5110775
E10	35	224	WT	Plate_6	2.671008	0.202983
G6	19	133	Null	Plate_6	2.0588465	1.1471704
E11	10	232	WT	Plate_6	2.9468944	-0.9687821
D11	35	67	Null	Plate_6	9.120055	2.0619214
E2	21	141	WT	Plate_6	4.3449254	0.2674275
G7	32	128	Null	Plate_6	3.2740624	-1.3374083
G2	29	114	Null	Plate_6	3.6165645	-1.5398904
B7	23	102	WT	Plate_6	10.761952	2.944189
G6	12	133	Null	Plate_6	5.514862	-1.5433223
G9	31	87	Null	Plate_6	3.8460484	1.0614374
E8	32	215	WT	Plate_6	1.5531552	1.7246059
G4	21	109	Null	Plate_6	4.5296383	1.6538625
G11	26	114	Null	Plate_6	0.9849972	0.2748988
D9	2	74	Null	Plate_6	10.182672	2.138121
B8	34	92	WT	Plate_6	11.149641	2.2525067
E7	31	194	WT	Plate_6	2.3868437	1.0446837
E9	36	251	WT	Plate_6	2.6842437	2.0348947
G6	36	133	Null	Plate_6	4.733802	-1.2986147
E10	32	224	WT	Plate_6	3.7611709	-0.6662647
B6	23	93	WT	Plate_6	8.872643	2.1541243
G4	27	109	Null	Plate_6	5.768672	2.316688
G3	12	123	Null	Plate_6	3.1615236	-1.3204513
G8	21	132	Null	Plate_6	2.830575	-1.3189723
E7	18	194	WT	Plate_6	4.1747704	-1.2038472
B6	3	93	WT	Plate_6	8.907425	1.3087307
G6	21	133	Null	Plate_6	4.5471015	-2.1879475
B4	33	88	WT	Plate_6	10.174152	1.6528064
B9	34	135	WT	Plate_6	8.844745	2.1890721
G3	35	123	Null	Plate_6	2.328821	-0.84092206
B7	27	102	WT	Plate_6	9.799626	2.0576572
D11	22	67	Null	Plate_6	7.9919844	2.5775468
E2	23	141	WT	Plate_6	5.9069333	-0.06639906
E10	10	224	WT	Plate_6	3.6865258	-1.1165044
G6	23	133	Null	Plate_6	5.277312	-2.01899
G3	28	123	Null	Plate_6	3.401244	-1.5089692
G11	12	114	Null	Plate_6	2.2281995	0.49995992
G5	25	131	Null	Plate_6	1.0614806	-0.06870691
D6	4	54	Null	Plate_6	8.123564	3.0479207
D11	14	67	Null	Plate_6	9.89896	1.0637416
E8	16	215	WT	Plate_6	3.0534582	1.9743711
E4	14	131	WT	Plate_6	2.449699	0.8999892
E7	15	194	WT	Plate_6	4.0778356	0.5614598
D2	14	53	Null	Plate_6	9.047413	2.4988685
G8	8	132	Null	Plate_6	4.1678557	0.6206521
B3	33	116	WT	Plate_6	8.617741	2.1585832
E5	25	172	WT	Plate_6	4.8770843	0.86749965
E7	3	194	WT	Plate_6	2.871766	1.1211897
D7	2	68	Null	Plate_6	9.32816	2.9229572
E8	2	215	WT	Plate_6	1.745713	1.94614
E10	8	224	WT	Plate_6	1.9402374	-0.46522367
E10	7	224	WT	Plate_6	5.0839076	-2.009291
G4	24	109	Null	Plate_6	4.658335	-0.8455125
B3	3	116	WT	Plate_6	9.551984	2.6436455
B9	35	135	WT	Plate_6	10.4264555	3.1529353
E3	19	161	WT	Plate_6	5.5607963	1.7738171
G3	28	123	Null	Plate_6	2.390647	0.66744214
E11	22	232	WT	Plate_6	1.4419726	-0.9481435
E10	21	224	WT	Plate_6	2.9220958	-1.3817488
D2	20	53	Null	Plate_6	8.253037	2.5482218
B7	15	102	WT	Plate_6	10.923521	2.3027766
