Metadata_Plate	Metadata_Site	Metadata_Well	Metadata_genotype	Metadata_number_of_singlecells	UMAP0	UMAP1
Plate_5	18	G3	WT	121	2.5950124	1.8122549
Plate_3	25	E11	Null	331	1.891539	1.5479952
Plate_3_prime	20	D4	WT	358	1.611835	2.8812768
Plate_3_prime	22	F12	Null	125	-2.546743	0.8768103
Plate_5	4	C9	Null	156	-0.31484935	-0.9653979
Plate_5	10	B2	WT	97	-3.3724406	1.3292395
Plate_5	7	G3	WT	121	0.24709	0.11506931
Plate_3_prime	25	B3	WT	76	-0.71888345	1.3323237
Plate_3	13	B11	Null	279	0.35374793	0.9304507
Plate_5	11	C12	Null	119	2.0413833	3.3387086
Plate_3_prime	20	G12	Null	187	1.2144784	2.5447912
Plate_3	8	E10	Null	117	-3.032367	0.027286163
Plate_3	9	C3	WT	344	0.99368966	2.64588
Plate_3	7	C12	Null	570	-0.33994183	2.8550496
Plate_3	17	F12	Null	647	3.2742674	0.56208646
Plate_3_prime	17	E12	Null	328	5.555083	0.14736567
Plate_3	12	G3	WT	187	1.4777756	1.5150095
Plate_5	13	D12	Null	106	-3.0053313	0.072746135
Plate_3_prime	25	B4	WT	219	-0.42532346	1.8146945
Plate_3	12	F4	WT	438	-1.4344324	-0.19020905
Plate_3	17	B12	Null	531	0.9790376	0.2873186
Plate_3_prime	18	G10	Null	72	-0.86490434	-0.4784524
Plate_3_prime	8	G1	WT	20	-0.678836	3.6836352
Plate_3	25	C1	WT	64	-1.5921535	-0.46271873
Plate_3	13	B4	WT	559	0.4429582	-3.7254906
Plate_3	23	C3	WT	344	1.4421774	1.7668433
Plate_3	21	B4	WT	559	1.5958805	3.7604854
Plate_5	7	C9	Null	156	-0.63568634	-1.2443011
Plate_3_prime	10	F4	WT	284	0.5864563	1.5229464
Plate_3	15	G4	WT	386	0.48667553	-0.4913598
Plate_3	12	G12	Null	481	-1.1931003	0.11655312
Plate_3	9	F11	Null	329	0.77424407	1.5014695
Plate_3_prime	10	G12	Null	187	-0.17476133	-0.7534443
Plate_3_prime	15	E4	WT	246	0.0038490738	0.99538267
Plate_3_prime	25	E4	WT	246	-2.7188468	2.1299942
Plate_3	19	D4	WT	636	0.2824104	1.3993548
Plate_3	18	C3	WT	344	0.702078	1.6785666
Plate_3_prime	19	G3	WT	248	-2.2896905	2.7658887
Plate_3	3	C3	WT	344	2.0578902	3.1615915
Plate_3_prime	5	D4	WT	358	3.6617088	1.1110599
Plate_5	16	D10	Null	157	-2.0781574	0.60080963
Plate_5	1	C4	WT	103	-0.35815388	2.795519
Plate_3	1	E12	Null	607	-0.94904554	2.7511213
Plate_3_prime	16	G3	WT	248	0.9701066	4.04276
Plate_5	11	B10	Null	155	0.4762895	0.46481773
Plate_3	6	C11	Null	280	-1.268578	-0.93336403
Plate_3	21	G10	Null	117	-2.6343327	0.786278
